"filename", "language", "C++", "comment", "blank", "total"
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/Audio.cpp", "C++", 73, 5, 23, 101
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/Audio.h", "C++", 49, 5, 26, 80
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/GAMESTATE.h", "C++", 21, 4, 13, 38
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/Player.cpp", "C++", 145, 20, 73, 238
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/Player.h", "C++", 66, 5, 14, 85
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/main.cpp", "C++", 130, 1, 66, 197
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/utility.cpp", "C++", 26, 0, 9, 35
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/utility.h", "C++", 6, 7, 6, 19
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/window.cpp", "C++", 15, 0, 4, 19
"/home/patate/Prog/CPP/KDevelopProjects/Snake/common/src/window.h", "C++", 8, 0, 7, 15
"Total", "-", 539, 47, 241, 827